Unnamed: 0,German,English
0,ich,I
1,sie,she
2,das,the
3,ist,is
4,du,you
5,nicht,not
6,die,the
7,es,it
8,und,and
9,der,the
10,wir,we
11,was,What
12,zu,to
13,er,he
14,ein,a
15,in,in
16,ja,Yes
17,mir,me
18,mit,with
19,wie,How
20,den,the
21,mich,me
22,auf,on
23,dass,that
24,aber,but
25,eine,one
26,so,so
27,hat,has
28,hier,here
29,haben,have
30,für,for
31,sind,are
32,war,was
33,von,from
34,wenn,if
35,dich,you
36,ihr,her
37,nein,no
38,habe,have
39,an,to
40,bin,am
41,noch,still
42,nur,only
43,da,there
44,dir,you
45,sich,itself
46,einen,a
47,uns,us
48,hast,have
49,dem,dem
50,kann,can
51,gut,good
52,auch,also
53,schon,already
54,als,as
55,sein,be
56,mal,just
57,jetzt,now
58,ihn,him
59,dann,then
60,aus,out of
61,meine,mine
62,um,around
63,im,in the
64,wird,becomes
65,mein,my
66,bist,are
67,doch,but
68,alles,everything
69,weiß,white
70,keine,no
71,oder,or
72,nach,after
73,s,s
74,nichts,nothing
75,man,man
76,muss,must
77,werden,become
78,will,wants
79,ihnen,them
80,geht,goes
81,wo,where
82,etwas,something
83,oh,Oh
84,mehr,more
85,bei,at
86,also,so
87,bitte,please
88,immer,always
90,warum,Why
91,vor,before
92,los,go
93,können,can
94,wieder,again
95,sagen,say
96,machen,make
97,danke,Thanks
98,sehr,very
99,alle,all
100,denn,because
101,mann,man
102,tun,do
103,ihm,him
104,zum,for the
105,gehen,go
106,sehen,see
107,vielleicht,perhaps
108,einem,one
109,wer,who
110,ihre,her
111,diese,this
112,euch,you
113,einer,one
114,komm,come
115,über,above
116,gibt,gives
117,okay,OK
118,wissen,knowledge
119,deine,your
120,müssen,must
121,soll,should
122,werde,become
123,nie,never
124,wirklich,really
125,hey,hey
126,kein,no
127,viel,much
128,weg,away
129,würde,would
130,tut,does
131,am,on
132,des,des
133,einfach,simply
134,leben,life
135,hatte,had
136,zeit,time
137,weil,because
138,willst,want
139,kommen,come
140,dein,your
141,heute,today
